company name,city,state,description
Aegis Project Controls,Silver Spring,MD,"Founded in 2006, Aegis Project Controls is a leading project controls firm with offices across the United States and Europe."
Ideate Labs - UX Courses for Women,Philadelphia,PA,Become a confident UI UX Designer in just four months (part-time) and implement your project ideas.
OLIN,Philadelphia,PA,"OLIN is dedicated to affecting positive change through landscape architecture, urban design and planning."
Buying Simplified,Philadelphia,PA,Our mission is to allow you to concentrate on core activities while we execute your projects and tactical tasks without any noise and day-to-day supervision.
The Admin Awards,Dallas,TX,The Admin Awards is the Administrative Profession's highest honor and is nationally known as the 'Academy Awards for Admins.'
Co-Living Homes,Philadelphia,PA,"We are a leader in finding, developing, leasing, and managing Co-Living homes and other Co-Living communities."
Powers Brown Architecture,Houston,TX,"Powers Brown Architecture is a professional services firm practicing architecture, interior design, programming and urban design."
New Leaders Council,Washington,DC,NLC provides local change makers place-based training and a national network of support.
Philabundance,Philadelphia,PA,"Philabundance seeks to drive hunger from our communities today and end hunger forever. It serves approximately 90,000 people per week."
Beaufort CRO,Virginia Beach,VA,"94% of our clients rate us higher than other CROs. We bring deep expertise across medical devices, in vitro diagnostics, and emerging technologies."
LevLane,Philadelphia,PA,"Advertising, media, public relations, digital and every other way to make people feel something real."
Halliwell,East Providence,RI,"Halliwell is a premier multidisciplinary technical and forensic consulting firm delivering global expertise across risk determination, loss investigation, restoration, and litigation support."
William Penn Foundation,Philadelphia,PA,"The William Penn Foundation, founded in 1945 by Otto and Phoebe Haas, is committed to expanding access to resources and opportunities that promote a more vital and just city and region for all."
Wharton Global Youth Program,Philadelphia,PA,"Educating, informing and inspiring pre-collegiate students to explore business, analyze challenges, and become leaders."
LunaJoy Health,Tampa,FL,"Unmanaged behavioral health is the single largest ""blind spot"" impacting total cost of care, patient outcomes, and clinical efficiency."
Anervea,Philadelphia,,Anervea has proprietary AI-platforms and solutions that accelerates BioPharma commercialization by unlocking incremental market opportunities.
Girls First Fund,Philadelphia,,The Girls First Fund is the largest funding partnership of its size focused on ending child marriage by directing financial and non financial resources to community-based organizations.
Run A Better Set (RABS),Philadelphia,PA,RABS imagines and builds apps for behind-the-scenes of movie and television productions. Crew technologies are our priority.
Think Traffic,Philadelphia,PA,"Philadelphia based ad agency Think-Traffic, which also has offices in LA, is an independent, next generation, creative collaborative with a strong technology orientation."
SafeGraph,Denver,CO,"SafeGraph is a data company. That's it, that's all we do. We predict the past. SafeGraph's mission is to democratize access to data."
JPA Health,Washington,DC,"At JPA Health, we sync-up PR, marketing, advocacy and medical comms to share our clients' commitment that helps people live healthier lives."
Authentise,Philadelphia,PA,"Supercharge your manufacturing and engineering with Authentise. Our data-driven platform streamlines your entire workflow, boosting efficiency, consistency, and compliance."
National Lacrosse League (NLL),Philadelphia,PA,"The National Lacrosse League (NLL) is North America's premier professional lacrosse league. Founded in 1986, the league is comprised of 15 franchises."
Sagapixel,Cherry Hill,NJ,"Sagapixel is a healthcare digital marketing agency that works with healthcare providers and brands to get discovered through paid and organic search, as well as social media."
DMi Partners,Philadelphia,PA,DMi Partners is focused on driving real online business growth for our clients. And we're not afraid to bet our own profitability on achieving success for you.
CCI Consulting - A Keystone Partners Company,Blue Bell,PA,"Building Resilience, Readiness, and Results Through Talent Solutions. CCI Consulting, now part of the Keystone Partners family."
Calder Capital,Grand Rapids,MI,"Founded in 2013, Calder Capital is a cross-industry mergers and acquisitions advisory firm with offices across the United States."
NeuroFlow,Philadelphia,PA,NeuroFlow helps risk-bearing healthcare organizations improve outcomes and cost of care in complex populations by surfacing and supporting behavioral health needs.
Alkemy X,Philadelphia,PA,"Alkemy X is a premier global post production company celebrated for best-in-class editorial, finishing, design, animation, and visual effects."
Red Tettemer O'Connell + Partners,Philadelphia,PA,"Red Tettemer O'Connell + Partners, a Mod Op Company, is a full service agency that stops at nothing to make its clients unforgettable."
Center City District,Philadelphia,PA,"The Center City District (CCD), Central Philadelphia Development Corporation (CPDC), and Center City District Foundation (CCDF) share a common mission to enhance the vitality of Center City Philadelphia."
Pennsylvania Horticultural Society (PHS),Philadelphia,PA,PHS uses horticulture to advance the health and well-being of the Greater Philadelphia Region.
Horvath & Tremblay,Lynnfield,MA,"Horvath & Tremblay is a premier real estate services firm specializing in investment real estate brokerage, 1031 exchanges, debt and equity placement, and appraisal and valuation services."
Tendo,Philadelphia,PA,"It's time to reimagine what's possible in healthcare. At Tendo, we're on a mission to become the trusted connection between patients, clinicians, and caregivers."
Decision Research Corporation,Honolulu,HI,"DRC was acquired by Majesco on January 2nd, 2024. This account will be closing and moving to Majesco."
tallywell,Philadelphia,PA,Data is the Future of Healthcare: Tallywell provides comprehensive health risk and data analysis across large networks of people.
Breakthrough Properties,Los Angeles,CA,Breakthrough Properties is a life science real estate investment firm that leverages cross-sector collaboration to deliver environments that foster innovation.
FIFA World Cup 26 Philadelphia,Philadelphia,PA,Philadelphia is proud to be a Host City for FIFA World Cup 26. This once-in-a-generation opportunity will welcome The Beautiful Game to the City of Brotherly Love.
Post Brothers,Philadelphia,PA,"Post Brothers was founded in 2006 by Matthew and Michael Pestronk to exclusively focus on creating and operating infill, class-A apartment buildings."
Bohlin Cywinski Jackson,Wilkes-Barre,PA,"Bohlin Cywinski Jackson is noted for elegant and humane design, ranging from modest houses to large academic, civic, cultural, commercial, and corporate buildings."
Brandywine Global Investment Management,Philadelphia,PA,"We believe in the power of value investing. Acting with conviction and discipline, we look beyond short-term, conventional thinking to rigorously pursue long-term value for our clients."
The SEO Works (USA),Philadelphia,PA,"The SEO Works are an award-winning provider of search marketing, websites and paid social for leading brands and prospering SME's."
Next PR,Colorado Springs,CO,"Next PR: Award winning. Results driven. We create comprehensive, integrated PR strategies that go beyond the basics."
Alma Ventures LLC,Philadelphia,,Alma Ventures LLC.
Cabrera Capital Markets,Chicago,IL,"Founded in 2001, Cabrera Capital Markets LLC is the leading Latino-owned investment bank and institutional brokerage firm."
Lemkin Institute for Genocide Prevention,Philadelphia,PA,"The Lemkin Institute for Genocide Prevention has grown from the Iraq Project for Genocide Prevention and Accountability, launched in 2017."
ROCKSTEADY PROMOTIONS,Philadelphia,PA,"At Rocksteady Promotions, our team adopts an energetic outreach approach that delivers compelling presentations about our clients' products and services."
Bluecadet,New York,NY,"Using design and technology to tell more interesting, participatory and human stories."
Watchdog,Philadelphia,PA,"Since our inception in 2003, Watchdog has been at the forefront of the real estate industry, providing indispensable knowledge to each of our clients."
"The Higgins Group, Inc.",Philadelphia & Boston,,Executive Search for the Life Sciences. The Higgins Group is a retained executive search firm dedicated to providing major and emerging companies in the life sciences with access to leadership.
Cradles to Crayons,Newton,MA,"Cradles to Crayons provides children from birth through age 12, living in homeless or low-income situations, with the essential items they need to thrive."
McKissack,New York,NY,McKissack & McKissack is the oldest minority-owned construction firm in the United States. A family-owned business for more than 119 years.
Museum of the American Revolution,Philadelphia,PA,"The Museum of the American Revolution uncovers and shares compelling stories about the diverse people and complex events that sparked America's ongoing experiment in liberty, equality, and self-government."
Hopeworks,Camden,NJ,"With a focus on skill development, real-world job experience, and trauma-informed care, Hopeworks propels young adults into long-term living wage careers."
